PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare
6,0,3,,0,0,8.4583
18,1,2,,0,0,13.0
20,1,3,,0,0,7.225
27,0,3,,0,0,7.225
29,1,3,,0,0,7.8792
30,0,3,,0,0,7.8958
32,1,1,,1,0,146.5208
33,1,3,,0,0,7.75
37,1,3,,0,0,7.2292
43,0,3,,0,0,7.8958
46,0,3,,0,0,8.05
47,0,3,,1,0,15.5
48,1,3,,0,0,7.75
49,0,3,,2,0,21.6792
56,1,1,,0,0,35.5
65,0,1,,0,0,27.7208
66,1,3,,1,1,15.2458
77,0,3,,0,0,7.8958
78,0,3,,0,0,8.05
83,1,3,,0,0,7.7875
88,0,3,,0,0,8.05
96,0,3,,0,0,8.05
102,0,3,,0,0,7.8958
108,1,3,,0,0,7.775
110,1,3,,1,0,24.15
122,0,3,,0,0,8.05
127,0,3,,0,0,7.75
129,1,3,,1,1,22.3583
141,0,3,,0,2,15.2458
155,0,3,,0,0,7.3125
159,0,3,,0,0,8.6625
160,0,3,,8,2,69.55
167,1,1,,0,1,55.0
169,0,1,,0,0,25.925
177,0,3,,3,1,25.4667
181,0,3,,8,2,69.55
182,0,2,,0,0,15.05
186,0,1,,0,0,50.0
187,1,3,,1,0,15.5
197,0,3,,0,0,7.75
199,1,3,,0,0,7.75
202,0,3,,8,2,69.55
215,0,3,,1,0,7.75
224,0,3,,0,0,7.8958
230,0,3,,3,1,25.4667
236,0,3,,0,0,7.55
241,0,3,,1,0,14.4542
242,1,3,,1,0,15.5
251,0,3,,0,0,7.25
257,1,1,,0,0,79.2
261,0,3,,0,0,7.75
265,0,3,,0,0,7.75
271,0,1,,0,0,31.0
275,1,3,,0,0,7.75
278,0,2,,0,0,0.0
285,0,1,,0,0,26.0
296,0,1,,0,0,27.7208
299,1,1,,0,0,30.5
301,1,3,,0,0,7.75
302,1,3,,2,0,23.25
304,1,2,,0,0,12.35
305,0,3,,0,0,8.05
307,1,1,,0,0,110.8833
325,0,3,,8,2,69.55
331,1,3,,2,0,23.25
335,1,1,,1,0,133.65
336,0,3,,0,0,7.8958
348,1,3,,1,0,16.1
352,0,1,,0,0,35.0
355,0,3,,0,0,7.225
359,1,3,,0,0,7.8792
360,1,3,,0,0,7.8792
365,0,3,,1,0,15.5
368,1,3,,0,0,7.2292
369,1,3,,0,0,7.75
376,1,1,,1,0,82.1708
385,0,3,,0,0,7.8958
389,0,3,,0,0,7.7292
410,0,3,,3,1,25.4667
411,0,3,,0,0,7.8958
412,0,3,,0,0,6.8583
414,0,2,,0,0,0.0
416,0,3,,0,0,8.05
421,0,3,,0,0,7.8958
426,0,3,,0,0,7.25
429,0,3,,0,0,7.75
432,1,3,,1,0,16.1
445,1,3,,0,0,8.1125
452,0,3,,1,0,19.9667
455,0,3,,0,0,8.05
458,1,1,,1,0,51.8625
460,0,3,,0,0,7.75
465,0,3,,0,0,8.05
467,0,2,,0,0,0.0
469,0,3,,0,0,7.725
471,0,3,,0,0,7.25
476,0,1,,0,0,52.0
482,0,2,,0,0,0.0
486,0,3,,3,1,25.4667
491,0,3,,1,0,19.9667
496,0,3,,0,0,14.4583
498,0,3,,0,0,15.1
503,0,3,,0,0,7.6292
508,1,1,,0,0,26.55
512,0,3,,0,0,8.05
518,0,3,,0,0,24.15
523,0,3,,0,0,7.225
525,0,3,,0,0,7.2292
528,0,1,,0,0,221.7792
532,0,3,,0,0,7.2292
534,1,3,,0,2,22.3583
539,0,3,,0,0,14.5
548,1,2,,0,0,13.8625
553,0,3,,0,0,7.8292
558,0,1,,0,0,227.525
561,0,3,,0,0,7.75
564,0,3,,0,0,8.05
565,0,3,,0,0,8.05
569,0,3,,0,0,7.2292
574,1,3,,0,0,7.75
579,0,3,,1,0,14.4583
585,0,3,,0,0,8.7125
590,0,3,,0,0,8.05
594,0,3,,0,2,7.75
597,1,2,,0,0,33.0
599,0,3,,0,0,7.225
602,0,3,,0,0,7.8958
603,0,1,,0,0,42.4
612,0,3,,0,0,7.05
613,1,3,,1,0,15.5
614,0,3,,0,0,7.75
630,0,3,,0,0,7.7333
634,0,1,,0,0,0.0
640,0,3,,1,0,16.1
644,1,3,,0,0,56.4958
649,0,3,,0,0,7.55
651,0,3,,0,0,7.8958
654,1,3,,0,0,7.8292
657,0,3,,0,0,7.8958
668,0,3,,0,0,7.775
670,1,1,,1,0,52.0
675,0,2,,0,0,0.0
681,0,3,,0,0,8.1375
693,1,3,,0,0,56.4958
698,1,3,,0,0,7.7333
710,1,3,,1,1,15.2458
712,0,1,,0,0,26.55
719,0,3,,0,0,15.5
728,1,3,,0,0,7.7375
733,0,2,,0,0,0.0
739,0,3,,0,0,7.8958
740,0,3,,0,0,7.8958
741,1,1,,0,0,30.0
761,0,3,,0,0,14.5
767,0,1,,0,0,39.6
769,0,3,,1,0,24.15
774,0,3,,0,0,7.225
777,0,3,,0,0,7.75
779,0,3,,0,0,7.7375
784,0,3,,1,2,23.45
791,0,3,,0,0,7.75
793,0,3,,8,2,69.55
794,0,1,,0,0,30.6958
816,0,1,,0,0,0.0
826,0,3,,0,0,6.95
827,0,3,,0,0,56.4958
829,1,3,,0,0,7.75
833,0,3,,0,0,7.2292
838,0,3,,0,0,8.05
840,1,1,,0,0,29.7
847,0,3,,8,2,69.55
850,1,1,,1,0,89.1042
860,0,3,,0,0,7.2292
864,0,3,,8,2,69.55
869,0,3,,0,0,9.5
879,0,3,,0,0,7.8958
889,0,3,,1,2,23.45
